ticker,date,ret,ret_raw,rs,tier,is_vcp,dist
NVDA,2020-11-16,9.75,9.75,99,B,False,-7.2
NVDA,2020-12-16,-8.0,-2.96,98,B,False,-9.0
NVDA,2021-01-19,-8.0,16.52,94,C,False,-10.5
NVDA,2021-02-18,-8.0,-5.11,82,B,False,-3.3
NVDA,2021-04-20,-8.0,22.71,75,B,False,-6.0
NVDA,2021-06-18,17.52,17.52,89,B,False,-0.1
NVDA,2021-07-20,19.42,19.42,77,C,False,-10.1
NVDA,2021-10-18,16.58,16.58,75,B,False,-2.7
NVDA,2021-11-16,-8.0,-12.21,99,A,False,-2.0
NVDA,2021-12-16,-8.0,-6.8,98,C,False,-14.9
NVDA,2022-01-18,-8.0,-14.29,91,C,False,-22.4
NVDA,2022-02-16,-8.0,-36.1,99,C,False,-20.6
NVDA,2022-03-18,-8.0,-39.96,98,C,False,-20.7
NVDA,2023-03-21,64.32,64.32,93,C,False,-21.4
NVDA,2023-04-20,63.49,63.49,99,C,True,-18.7
NVDA,2023-05-19,50.24,50.24,99,A,False,-3.5
NVDA,2023-06-21,-1.86,-1.86,99,A,False,-1.7
NVDA,2023-07-21,-4.98,-4.98,99,B,False,-6.7
NVDA,2023-08-21,-8.0,4.97,99,A,False,-1.1
NVDA,2023-09-20,17.45,17.45,99,C,False,-14.4
NVDA,2023-10-19,41.71,41.71,99,C,False,-14.7
NVDA,2023-11-17,36.88,36.88,99,A,False,-0.7
NVDA,2023-12-19,84.34,84.34,99,A,False,-1.6
NVDA,2024-01-22,33.3,33.3,99,A,False,0.0
NVDA,2024-02-21,41.38,41.38,99,B,False,-8.7
NVDA,2024-03-21,-8.0,38.44,99,A,False,-1.3
NVDA,2024-04-22,54.18,54.18,99,C,False,-16.3
NVDA,2024-06-21,-8.0,-8.34,99,B,False,-6.6
NVDA,2024-07-23,-8.0,17.24,99,B,False,-9.6
NVDA,2024-08-21,-8.0,14.41,99,B,False,-5.2
NVDA,2024-09-20,12.66,12.66,99,C,False,-14.4
NVDA,2024-10-21,-8.0,2.45,99,A,False,0.0
NVDA,2024-11-19,-8.0,-11.37,99,A,False,-1.3
NVDA,2024-12-19,-8.0,-7.64,99,C,False,-12.2
NVDA,2025-01-23,-8.0,-27.7,99,A,False,-1.5
NVDA,2025-02-24,-8.0,0.78,84,C,False,-12.8
NVDA,2025-07-25,5.0,5.0,81,A,True,-0.1
NVDA,2025-08-25,-0.51,-0.51,73,A,True,-1.8
NVDA,2025-09-24,6.92,6.92,76,B,False,-3.6
AAPL,2020-10-16,-8.0,7.59,86,C,False,-11.3
AAPL,2020-11-16,7.98,7.98,83,C,False,-10.2
AAPL,2020-12-16,-8.0,-5.98,83,A,True,-4.6
AAPL,2021-01-19,-8.0,4.29,77,B,False,-6.5
MSFT,2023-11-17,8.94,8.94,71,B,False,-1.7
MSFT,2024-01-22,1.31,1.31,73,B,False,-0.5
AMZN,2020-10-16,-8.0,-4.64,86,B,False,-7.3
AMZN,2020-11-16,6.3,6.3,74,C,False,-11.3
AMZN,2020-12-16,-8.0,-5.12,74,B,True,-8.2
AMZN,2023-11-17,16.12,16.12,71,B,False,-0.4
AMZN,2023-12-19,15.84,15.84,75,B,False,-0.2
AMZN,2024-01-22,14.5,14.5,71,B,False,-0.4
AMZN,2024-02-21,8.64,8.64,75,B,False,-3.4
AMZN,2024-03-21,6.14,6.14,72,A,True,-0.3
AMZN,2024-04-22,5.18,5.18,77,B,False,-6.3
GOOGL,2021-04-20,10.76,10.76,71,B,False,-0.5
GOOGL,2021-06-18,17.22,17.22,70,A,True,-1.9
GOOGL,2021-07-20,13.13,13.13,70,A,True,-1.6
GOOGL,2021-09-17,2.59,2.59,80,B,False,-3.0
GOOGL,2021-10-18,-4.75,-4.75,77,B,False,-1.7
GOOGL,2025-09-24,27.28,27.28,79,B,False,-3.0
META,2023-05-19,18.02,18.02,99,C,False,-29.1
META,2023-06-21,6.4,6.4,99,C,False,-15.8
META,2023-07-21,6.3,6.3,99,B,False,-6.9
META,2023-08-21,15.57,15.57,99,C,False,-10.9
META,2023-09-20,16.92,16.92,99,B,True,-7.9
META,2023-10-19,22.05,22.05,99,A,False,-4.6
META,2023-11-17,39.84,39.84,99,A,False,-0.4
META,2023-12-19,45.08,45.08,99,A,False,0.0
META,2024-01-22,26.31,26.31,99,A,False,-0.4
META,2024-02-21,-8.0,-0.73,99,A,False,-3.2
META,2024-03-21,-8.0,-2.46,99,A,False,-0.9
META,2024-04-22,-8.0,1.55,99,B,False,-8.6
META,2024-05-21,15.29,15.29,84,C,False,-11.9
META,2024-07-23,17.81,17.81,73,B,False,-9.5
META,2024-08-21,4.95,4.95,76,B,False,-0.9
META,2024-09-20,6.18,6.18,77,B,False,0.0
META,2024-10-21,10.75,10.75,70,B,False,-3.5
META,2024-11-19,19.17,19.17,70,B,False,-5.8
META,2024-12-19,5.26,5.26,77,B,False,-5.8
META,2025-01-23,-8.0,-16.16,74,B,False,0.0
META,2025-07-25,3.06,3.06,70,B,False,-3.4
AVGO,2020-10-16,-8.0,22.32,72,B,False,-1.0
AVGO,2021-01-19,-8.0,0.34,78,B,False,0.0
AVGO,2021-02-18,-8.0,-7.88,80,A,True,-1.2
AVGO,2021-03-19,-8.0,-2.31,89,B,False,-2.4
AVGO,2022-05-18,-8.0,-1.31,75,C,False,-14.8
AVGO,2023-04-20,42.42,42.42,72,A,True,-2.4
AVGO,2023-06-21,-1.48,-1.48,87,B,False,-3.8
AVGO,2023-07-21,-8.0,-2.7,95,A,False,-1.5
AVGO,2023-09-20,37.84,37.84,84,B,False,-9.5
AVGO,2023-10-19,41.28,41.28,99,B,False,-5.5
AVGO,2023-11-17,26.12,26.12,95,A,False,0.0
AVGO,2023-12-19,18.79,18.79,95,A,False,-0.2
AVGO,2024-01-22,0.75,0.75,99,A,False,0.0
AVGO,2024-03-21,-8.0,23.04,96,A,False,-3.8
AVGO,2024-04-22,34.17,34.17,93,C,False,-12.6
AVGO,2024-05-21,18.86,18.86,90,A,False,-2.6
AVGO,2024-06-21,-8.0,3.83,90,B,False,-9.3
AVGO,2024-07-23,-8.0,10.27,86,C,False,-10.2
AVGO,2024-09-20,27.6,27.6,88,B,False,-5.8
AVGO,2024-10-21,-8.0,33.85,89,B,False,-3.2
AVGO,2024-11-19,26.09,26.09,70,C,False,-11.1
AVGO,2024-12-19,-8.0,-13.28,87,C,False,-12.7
AVGO,2025-01-23,-8.0,-21.46,92,A,False,-3.6
AVGO,2025-03-25,-8.0,40.91,71,C,False,-24.3
AVGO,2025-06-25,28.43,28.43,84,B,False,0.0
AVGO,2025-07-25,18.85,18.85,93,A,True,0.0
AVGO,2025-08-25,15.82,15.82,89,B,False,-5.9
AVGO,2025-09-24,3.15,3.15,99,B,False,-8.0
AMD,2020-10-16,-8.0,7.55,99,B,False,-9.8
AMD,2020-11-16,5.86,5.86,90,B,False,-9.2
AMD,2020-12-16,-8.0,-18.37,99,A,False,-0.3
AMD,2021-01-19,-8.0,-11.38,88,B,False,-8.0
AMD,2021-11-16,-8.0,-22.8,98,A,False,0.0
AMD,2021-12-16,-8.0,-18.16,74,C,False,-14.4
AMD,2022-01-18,-8.0,-26.53,77,C,False,-18.5
AMD,2023-06-21,-8.0,-10.5,78,C,False,-18.4
AMD,2023-07-21,-8.0,-7.71,74,C,False,-16.5
AMD,2023-11-17,36.2,36.2,76,B,False,-6.6
AMD,2023-12-19,27.49,27.49,97,A,False,0.0
AMD,2024-01-22,-8.0,-11.62,99,A,False,-3.5
AMD,2024-02-21,-8.0,0.23,97,B,False,-8.9
AMD,2024-03-21,-8.0,-9.77,90,C,False,-15.5
AMD,2024-04-22,3.61,3.61,87,C,False,-29.7
AMD,2025-07-25,-8.0,41.16,73,C,False,-21.2
TSLA,2020-12-16,-8.0,5.15,99,A,False,-4.2
TSLA,2021-01-19,-8.0,-14.87,99,A,False,-4.0
TSLA,2021-03-19,-8.0,-4.82,99,C,False,-25.8
TSLA,2021-04-20,-8.0,-8.14,99,C,False,-18.6
TSLA,2021-08-18,53.08,53.08,84,C,False,-22.0
TSLA,2021-09-17,22.05,22.05,74,C,False,-14.0
TSLA,2021-10-18,18.43,18.43,98,A,False,-1.5
TSLA,2021-11-16,-8.0,-12.45,99,C,False,-14.2
