ticker,scan_date,entry_date,exit_date,hold_days,entry,exit,return_pct,spy_ret,alpha,rs,score,year
NVDA,2020-11-11,2020-11-12,2020-11-24,7,13.4,12.9,-3.71,1.43,-5.14,95,7,2020
NVDA,2020-11-11,2020-11-12,2020-12-15,21,13.4,13.31,-0.69,3.21,-3.89,95,7,2020
NVDA,2020-11-11,2020-11-12,2021-02-17,63,13.4,14.85,10.8,10.04,0.76,95,7,2020
AAPL,2020-11-11,2020-11-12,2020-11-24,7,115.83,111.9,-3.39,1.43,-4.82,70,7,2020
AAPL,2020-11-11,2020-11-12,2020-12-15,21,115.83,124.25,7.27,3.21,4.06,70,7,2020
AAPL,2020-11-11,2020-11-12,2021-02-17,63,115.83,127.32,9.92,10.04,-0.12,70,7,2020
AVGO,2020-11-11,2020-11-12,2020-11-24,7,32.95,34.91,5.95,1.43,4.52,74,7,2020
AVGO,2020-11-11,2020-11-12,2020-12-15,21,32.95,37.21,12.93,3.21,9.72,74,7,2020
AVGO,2020-11-11,2020-11-12,2021-02-17,63,32.95,43.31,31.44,10.04,21.4,74,7,2020
TSLA,2020-11-11,2020-11-12,2020-11-24,7,137.25,185.13,34.88,1.43,33.45,99,6,2020
TSLA,2020-11-11,2020-11-12,2020-12-15,21,137.25,211.08,53.79,3.21,50.58,99,6,2020
TSLA,2020-11-11,2020-11-12,2021-02-17,63,137.25,266.05,93.84,10.04,83.8,99,6,2020
MRVL,2020-11-11,2020-11-12,2020-11-24,7,40.7,43.87,7.79,1.43,6.36,96,7,2020
MRVL,2020-11-11,2020-11-12,2020-12-15,21,40.7,44.18,8.56,3.21,5.35,96,7,2020
MRVL,2020-11-11,2020-11-12,2021-02-17,63,40.7,49.37,21.31,10.04,11.27,96,7,2020
LRCX,2020-11-11,2020-11-12,2020-11-24,7,39.47,42.11,6.69,1.43,5.26,84,7,2020
LRCX,2020-11-11,2020-11-12,2020-12-15,21,39.47,46.85,18.67,3.21,15.46,84,7,2020
LRCX,2020-11-11,2020-11-12,2021-02-17,63,39.47,55.41,40.37,10.04,30.33,84,7,2020
MPWR,2020-11-11,2020-11-12,2020-11-24,7,298.67,292.85,-1.95,1.43,-3.38,85,7,2020
MPWR,2020-11-11,2020-11-12,2020-12-15,21,298.67,318.67,6.7,3.21,3.49,85,7,2020
MPWR,2020-11-11,2020-11-12,2021-02-17,63,298.67,366.02,22.55,10.04,12.51,85,7,2020
MCHP,2020-11-11,2020-11-12,2020-11-24,7,55.06,59.74,8.5,1.43,7.07,91,7,2020
MCHP,2020-11-11,2020-11-12,2020-12-15,21,55.06,63.14,14.68,3.21,11.47,91,7,2020
MCHP,2020-11-11,2020-11-12,2021-02-17,63,55.06,72.93,32.46,10.04,22.42,91,7,2020
NXPI,2020-11-11,2020-11-12,2020-11-24,7,131.24,144.13,9.82,1.43,8.39,88,7,2020
NXPI,2020-11-11,2020-11-12,2020-12-15,21,131.24,145.93,11.19,3.21,7.98,88,7,2020
NXPI,2020-11-11,2020-11-12,2021-02-17,63,131.24,172.94,31.77,10.04,21.73,88,7,2020
FORM,2020-11-11,2020-11-12,2020-11-24,7,36.37,41.15,13.14,1.43,11.71,95,7,2020
FORM,2020-11-11,2020-11-12,2020-12-15,21,36.37,43.89,20.68,3.21,17.47,95,7,2020
FORM,2020-11-11,2020-11-12,2021-02-17,63,36.37,48.83,34.26,10.04,24.22,95,7,2020
CRWD,2020-11-11,2020-11-12,2020-11-24,7,137.3,149.45,8.85,1.43,7.42,99,6,2020
CRWD,2020-11-11,2020-11-12,2020-12-15,21,137.3,174.93,27.41,3.21,24.2,99,6,2020
CRWD,2020-11-11,2020-11-12,2021-02-17,63,137.3,238.56,73.75,10.04,63.71,99,6,2020
HUBS,2020-11-11,2020-11-12,2020-11-24,7,353.47,362.93,2.68,1.43,1.25,99,7,2020
HUBS,2020-11-11,2020-11-12,2020-12-15,21,353.47,379.9,7.48,3.21,4.27,99,7,2020
HUBS,2020-11-11,2020-11-12,2021-02-17,63,353.47,523.33,48.06,10.04,38.01,99,7,2020
TTD,2020-11-11,2020-11-12,2020-11-24,7,74.0,84.41,14.07,1.43,12.64,99,7,2020
TTD,2020-11-11,2020-11-12,2020-12-15,21,74.0,93.31,26.1,3.21,22.89,99,7,2020
TTD,2020-11-11,2020-11-12,2021-02-17,63,74.0,84.44,14.11,10.04,4.07,99,7,2020
ZS,2020-11-11,2020-11-12,2020-11-24,7,140.06,141.19,0.81,1.43,-0.62,97,6,2020
ZS,2020-11-11,2020-11-12,2020-12-15,21,140.06,181.24,29.4,3.21,26.19,97,6,2020
ZS,2020-11-11,2020-11-12,2021-02-17,63,140.06,224.83,60.52,10.04,50.48,97,6,2020
NET,2020-11-11,2020-11-12,2020-11-24,7,64.15,66.69,3.96,1.43,2.53,99,7,2020
NET,2020-11-11,2020-11-12,2020-12-15,21,64.15,81.46,26.98,3.21,23.78,99,7,2020
NET,2020-11-11,2020-11-12,2021-02-17,63,64.15,84.4,31.57,10.04,21.52,99,7,2020
WDAY,2020-11-11,2020-11-12,2020-11-24,7,219.81,213.14,-3.03,1.43,-4.46,76,7,2020
WDAY,2020-11-11,2020-11-12,2020-12-15,21,219.81,220.25,0.2,3.21,-3.01,76,7,2020
WDAY,2020-11-11,2020-11-12,2021-02-17,63,219.81,271.05,23.31,10.04,13.27,76,7,2020
TWLO,2020-11-11,2020-11-12,2020-11-24,7,285.67,292.0,2.22,1.43,0.79,75,7,2020
TWLO,2020-11-11,2020-11-12,2020-12-15,21,285.67,345.1,20.8,3.21,17.6,75,7,2020
TWLO,2020-11-11,2020-11-12,2021-02-17,63,285.67,411.65,44.1,10.04,34.06,75,7,2020
MS,2020-11-11,2020-11-12,2020-11-24,7,46.85,53.63,14.49,1.43,13.06,72,7,2020
MS,2020-11-11,2020-11-12,2020-12-15,21,46.85,53.93,15.12,3.21,11.91,72,7,2020
MS,2020-11-11,2020-11-12,2021-02-17,63,46.85,63.95,36.52,10.04,26.48,72,7,2020
SCHW,2020-11-11,2020-11-12,2020-11-24,7,41.6,46.32,11.34,1.43,9.91,93,6,2020
SCHW,2020-11-11,2020-11-12,2020-12-15,21,41.6,47.49,14.15,3.21,10.95,93,6,2020
SCHW,2020-11-11,2020-11-12,2021-02-17,63,41.6,57.21,37.52,10.04,27.48,93,6,2020
BKNG,2020-11-11,2020-11-12,2020-11-24,7,76.88,82.39,7.16,1.43,5.73,71,7,2020
BKNG,2020-11-11,2020-11-12,2020-12-15,21,76.88,82.18,6.88,3.21,3.68,71,7,2020
BKNG,2020-11-11,2020-11-12,2021-02-17,63,76.88,87.49,13.8,10.04,3.76,71,7,2020
MELI,2020-11-11,2020-11-12,2020-11-24,7,1296.0,1439.28,11.06,1.43,9.63,91,7,2020
MELI,2020-11-11,2020-11-12,2020-12-15,21,1296.0,1668.99,28.78,3.21,25.57,91,7,2020
MELI,2020-11-11,2020-11-12,2021-02-17,63,1296.0,1890.25,45.85,10.04,35.81,91,7,2020
UBER,2020-11-11,2020-11-12,2020-11-24,7,46.4,51.26,10.47,1.43,9.04,99,7,2020
UBER,2020-11-11,2020-11-12,2020-12-15,21,46.4,51.0,9.91,3.21,6.71,99,7,2020
UBER,2020-11-11,2020-11-12,2021-02-17,63,46.4,60.81,31.06,10.04,21.01,99,7,2020
ELF,2020-11-11,2020-11-12,2020-11-24,7,21.1,22.27,5.55,1.43,4.12,74,7,2020
ELF,2020-11-11,2020-11-12,2020-12-15,21,21.1,21.23,0.62,3.21,-2.59,74,7,2020
ELF,2020-11-11,2020-11-12,2021-02-17,63,21.1,24.84,17.73,10.04,7.68,74,7,2020
CELH,2020-11-11,2020-11-12,2020-11-24,7,10.65,10.39,-2.44,1.43,-3.87,99,7,2020
CELH,2020-11-11,2020-11-12,2020-12-15,21,10.65,12.0,12.64,3.21,9.43,99,7,2020
CELH,2020-11-11,2020-11-12,2021-02-17,63,10.65,19.74,85.29,10.04,75.25,99,7,2020
CVNA,2020-11-11,2020-11-12,2020-11-24,7,42.95,47.34,10.24,1.43,8.81,99,7,2020
CVNA,2020-11-11,2020-11-12,2020-12-15,21,42.95,51.21,19.23,3.21,16.02,99,7,2020
CVNA,2020-11-11,2020-11-12,2021-02-17,63,42.95,59.12,37.66,10.04,27.62,99,7,2020
TMO,2020-11-11,2020-11-12,2020-11-24,7,479.51,433.2,-9.66,1.43,-11.09,75,7,2020
TMO,2020-11-11,2020-11-12,2020-12-15,21,479.51,464.38,-3.16,3.21,-6.37,75,7,2020
TMO,2020-11-11,2020-11-12,2021-02-17,63,479.51,491.47,2.49,10.04,-7.55,75,7,2020
DHR,2020-11-11,2020-11-12,2020-11-24,7,201.47,188.74,-6.32,1.43,-7.75,72,7,2020
DHR,2020-11-11,2020-11-12,2020-12-15,21,201.47,192.98,-4.21,3.21,-7.42,72,7,2020
DHR,2020-11-11,2020-11-12,2021-02-17,63,201.47,207.63,3.05,10.04,-6.99,72,7,2020
SPOT,2020-11-11,2020-11-12,2020-11-24,7,258.69,270.14,4.43,1.43,3.0,82,7,2020
SPOT,2020-11-11,2020-11-12,2020-12-15,21,258.69,326.97,26.39,3.21,23.19,82,7,2020
SPOT,2020-11-11,2020-11-12,2021-02-17,63,258.69,355.19,37.3,10.04,27.26,82,7,2020
MSTR,2020-11-11,2020-11-12,2020-11-24,7,18.69,24.72,32.25,1.43,30.82,99,7,2020
MSTR,2020-11-11,2020-11-12,2020-12-15,21,18.69,28.58,52.88,3.21,49.67,99,7,2020
