ticker,entry_date,exit_date,entry,exit,ret,regime,is_vcp,tier,exit_reason,pyramided,year
ZS,2020-10-16,2020-11-16,154.85000610351562,133.52,-13.77,BULL,True,A,stop,0,2020
TWLO,2020-10-16,2020-11-16,326.4700012207031,278.52,-14.69,BULL,False,A,stop,0,2020
PYPL,2020-10-16,2021-03-19,202.69456481933594,239.21,18.01,BULL,True,A,time,1,2020
MELI,2020-10-16,2021-03-19,1271.3800048828125,1448.89,13.96,BULL,False,A,time,2,2020
CELH,2020-11-16,2021-04-20,11.363332748413086,18.47,62.54,BULL,False,A,time,2,2020
NET,2020-11-16,2021-04-20,64.54000091552734,72.39,12.16,BULL,False,A,time,1,2020
DKNG,2021-03-19,2021-04-20,71.9800033569336,55.71,-22.6,BULL,False,A,stop,0,2021
ELF,2021-04-20,2021-07-20,29.56999969482422,26.04,-11.94,BULL,False,A,stop,0,2021
MS,2021-03-19,2021-08-18,70.30369567871094,86.83,23.51,BULL,False,A,time,2,2021
CRWD,2021-04-20,2021-09-17,206.60000610351562,263.09,27.34,BULL,True,C,time,2,2021
AMAT,2021-04-20,2021-09-17,123.07063293457031,135.24,9.89,BULL,False,C,time,0,2021
FTNT,2021-07-20,2021-12-16,52.768001556396484,64.58,22.39,BULL,True,A,time,2,2021
HUBS,2021-08-18,2022-01-18,648.3499755859375,447.3,-31.01,BULL,False,A,time,2,2021
ONTO,2021-09-17,2022-02-16,77.06999969482422,92.07,19.46,BULL,True,A,time,2,2021
MS,2021-09-17,2022-02-16,87.25006866455078,87.94,0.8,BULL,True,A,time,0,2021
NVDA,2022-03-18,2022-04-19,26.374187469482422,22.13,-16.09,BULL,False,C,stop,0,2022
MRVL,2022-03-18,2022-04-19,70.15094757080078,62.77,-10.52,BULL,False,C,stop,0,2022
ACLS,2021-12-16,2022-05-18,61.939998626708984,57.02,-7.94,BULL,False,C,time,2,2021
FTNT,2022-01-18,2022-05-18,61.694000244140625,54.12,-12.28,BULL,False,C,stop,0,2022
LLY,2022-05-18,2022-10-18,285.5550842285156,325.15,13.87,BEAR,False,A,time,1,2022
ELF,2022-08-18,2023-01-19,38.41999816894531,52.66,37.06,NEUTRAL,True,A,time,2,2022
VRTX,2022-11-16,2023-04-20,305.44000244140625,329.15,7.76,NEUTRAL,False,A,time,0,2022
WING,2023-02-17,2023-07-21,170.87344360351562,183.35,7.3,BULL,False,A,time,1,2023
CELH,2023-02-17,2023-07-21,31.613332748413086,47.79,51.18,BULL,False,C,time,2,2023
ACLS,2023-03-21,2023-08-21,133.4499969482422,171.43,28.46,BULL,True,A,time,2,2023
NVDA,2023-04-20,2023-09-20,27.04850196838379,42.16,55.87,BULL,True,C,time,2,2023
UBER,2023-07-21,2023-10-19,47.22999954223633,42.72,-9.55,BULL,False,A,stop,0,2023
CELH,2023-10-19,2023-11-17,57.310001373291016,49.97,-12.81,NEUTRAL,False,C,stop,0,2023
VRT,2023-07-21,2023-12-19,25.592500686645508,49.08,91.77,BULL,False,A,time,2,2023
LLY,2023-08-21,2024-01-22,539.6058349609375,620.04,14.91,BULL,False,A,time,0,2023
COIN,2023-12-19,2024-01-22,161.16000366210938,128.21,-20.45,BULL,False,A,stop,0,2023
DUOL,2023-12-19,2024-01-22,241.2100067138672,196.64,-18.48,BULL,False,A,stop,0,2023
CVNA,2023-12-19,2024-01-22,11.960000038146973,9.67,-19.15,BULL,False,A,stop,0,2023
META,2023-09-20,2024-02-21,297.336669921875,464.88,56.35,BULL,True,B,time,1,2023
CLS,2023-10-19,2024-03-21,26.049999237060547,47.05,80.61,NEUTRAL,False,A,time,2,2023
ADBE,2023-10-19,2024-03-21,555.739990234375,511.25,-8.01,NEUTRAL,False,A,time,0,2023
PLTR,2023-10-19,2024-03-21,17.059999465942383,24.49,43.55,NEUTRAL,False,C,time,2,2023
DKNG,2023-10-19,2024-03-21,27.719999313354492,47.95,72.98,NEUTRAL,False,C,time,2,2023
NVDA,2023-10-19,2024-03-21,42.02260971069336,91.28,117.21,NEUTRAL,False,C,time,2,2023
MDB,2023-10-19,2024-03-21,358.0,360.15,0.6,NEUTRAL,False,C,time,0,2023
ONTO,2023-10-19,2024-03-21,121.19000244140625,183.01,51.01,NEUTRAL,False,C,time,1,2023
ELF,2023-10-19,2024-03-21,104.72000122070312,207.31,97.97,NEUTRAL,False,C,time,0,2023
HOOD,2024-03-21,2024-04-22,19.09000015258789,17.19,-9.95,BULL,True,A,stop,0,2024
DKNG,2024-03-21,2024-04-22,47.95000076293945,40.55,-15.43,BULL,False,A,stop,0,2024
COIN,2024-03-21,2024-04-22,262.0,225.86,-13.79,BULL,False,A,stop,0,2024
CLS,2024-03-21,2024-04-22,47.04999923706055,42.98,-8.65,BULL,False,A,stop,0,2024
NVDA,2024-03-21,2024-04-22,91.27704620361328,79.38,-13.03,BULL,False,A,stop,0,2024
UBER,2024-03-21,2024-04-22,80.25,68.98,-14.04,BULL,False,A,stop,0,2024
DUOL,2024-03-21,2024-04-22,235.6199951171875,205.57,-12.75,BULL,False,A,stop,0,2024
ELF,2024-03-21,2024-04-22,207.30999755859375,161.46,-22.12,BULL,False,A,stop,0,2024
AVGO,2024-03-21,2024-04-22,132.10157775878906,119.99,-9.16,BULL,False,A,stop,0,2024
WING,2023-12-19,2024-05-21,251.75205993652344,376.69,49.63,BULL,True,A,time,2,2023
VRT,2023-12-19,2024-05-21,49.07947540283203,98.88,101.47,BULL,False,A,time,2,2023
CRWD,2023-12-19,2024-05-21,258.3299865722656,349.32,35.22,BULL,False,A,time,1,2023
APP,2023-12-19,2024-05-21,43.59000015258789,84.0,92.7,BULL,False,A,time,2,2023
META,2024-03-21,2024-05-21,504.3409423828125,461.5,-8.49,BULL,False,A,stop,0,2024
DUOL,2024-04-22,2024-05-21,205.57000732421875,180.89,-12.01,BULL,False,C,stop,0,2024
LLY,2024-01-22,2024-06-21,620.0445556640625,871.71,40.59,BULL,True,A,time,2,2024
